Connecting to host 172.0.0.1, port 5002
[  5] local 172.0.0.100 port 55960 connected to 172.0.0.1 port 5002
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   6.60-6.70   sec  0.00 Bytes  0.00 bits/sec    0   34.0 KBytes       
[  5]   6.70-6.80   sec  0.00 Bytes  0.00 bits/sec    0   35.6 KBytes       
[  5]   6.80-6.90   sec  0.00 Bytes  0.00 bits/sec    0   37.3 KBytes       
[  5]   6.90-7.00   sec  0.00 Bytes  0.00 bits/sec    0   38.9 KBytes       
[  5]   7.00-7.10   sec  0.00 Bytes  0.00 bits/sec    0   40.6 KBytes       
[  5]   7.10-7.20   sec  0.00 Bytes  0.00 bits/sec    0   42.2 KBytes       
[  5]   7.20-7.30   sec  0.00 Bytes  0.00 bits/sec    0   43.1 KBytes       
[  5]   7.30-7.40   sec  0.00 Bytes  0.00 bits/sec    0   43.1 KBytes       
[  5]   7.40-7.50   sec  50.5 KBytes  4.14 Mbits/sec    0   43.9 KBytes       
[  5]   7.50-7.60   sec  0.00 Bytes  0.00 bits/sec    0   43.9 KBytes       
[  5]   7.60-7.70   sec  0.00 Bytes  0.00 bits/sec    0   43.9 KBytes       
[  5]   7.70-7.80   sec  0.00 Bytes  0.00 bits/sec    0   43.9 KBytes       
[  5]   7.80-7.90   sec  0.00 Bytes  0.00 bits/sec    0   43.9 KBytes       
[  5]   7.90-8.00   sec  0.00 Bytes  0.00 bits/sec    0   43.9 KBytes       
[  5]   8.00-8.10   sec  0.00 Bytes  0.00 bits/sec    0   43.9 KBytes       
[  5]   8.10-8.20   sec  0.00 Bytes  0.00 bits/sec    0   43.9 KBytes       
[  5]   8.20-8.30   sec  0.00 Bytes  0.00 bits/sec    0   43.9 KBytes       
[  5]   8.30-8.40   sec  0.00 Bytes  0.00 bits/sec    0   43.9 KBytes       
[  5]   8.40-8.50   sec  0.00 Bytes  0.00 bits/sec    0   43.9 KBytes       
[  5]   8.50-8.60   sec  0.00 Bytes  0.00 bits/sec    0   43.9 KBytes       
[  5]   8.60-8.70   sec  0.00 Bytes  0.00 bits/sec    0   43.9 KBytes       
[  5]   8.70-8.80   sec  0.00 Bytes  0.00 bits/sec    0   43.9 KBytes       
[  5]   8.80-8.90   sec  0.00 Bytes  0.00 bits/sec    0   43.9 KBytes       
[  5]   8.90-9.00   sec  0.00 Bytes  0.00 bits/sec    0   43.9 KBytes       
[  5]   9.00-9.10   sec  0.00 Bytes  0.00 bits/sec    0   43.9 KBytes       
[  5]   9.10-9.20   sec  0.00 Bytes  0.00 bits/sec    0   43.9 KBytes       
[  5]   9.20-9.30   sec  0.00 Bytes  0.00 bits/sec    0   43.9 KBytes       
[  5]   9.30-9.40   sec  0.00 Bytes  0.00 bits/sec    0   43.9 KBytes       
[  5]   9.40-9.50   sec  0.00 Bytes  0.00 bits/sec    0   44.7 KBytes       
[  5]   9.50-9.60   sec  0.00 Bytes  0.00 bits/sec    0   45.5 KBytes       
[  5]   9.60-9.70   sec  0.00 Bytes  0.00 bits/sec    0   47.2 KBytes       
[  5]   9.70-9.80   sec  0.00 Bytes  0.00 bits/sec    0   48.9 KBytes       
[  5]   9.80-9.90   sec  0.00 Bytes  0.00 bits/sec    0   50.5 KBytes       
WARNING:  Size of data read does not correspond to offered length
iperf3: error - unable to receive results: Resource temporarily unavailable
